12-month global means vs 1951-1980
Year,Global Mean
1892.1666,-0.27
1892.25,-0.27
1892.3334,-0.27
1892.4166,-0.28
1892.5,-0.30
1892.5834,-0.34
1892.6666,-0.38
1892.75,-0.36
1892.8334,-0.36
1892.9166,-0.36
1893.0,-0.37
1893.0834,-0.35
1893.1666,-0.35
1893.25,-0.35
1893.3334,-0.36
1893.4166,-0.34
1893.5,-0.33
1893.5834,-0.31
1893.6666,-0.29
1893.75,-0.29
1893.8334,-0.31
1893.9166,-0.30
1894.0,-0.31
1894.0834,-0.32
1894.1666,-0.32
1894.25,-0.32
1894.3334,-0.33
1894.4166,-0.33
1894.5,-0.32
1894.5834,-0.31
1894.6666,-0.31
1894.75,-0.32
1894.8334,-0.30
1894.9166,-0.30
1895.0,-0.28
1895.0834,-0.28
1895.1666,-0.27
1895.25,-0.26
1895.3334,-0.24
1895.4166,-0.23
1895.5,-0.23
1895.5834,-0.22
1895.6666,-0.20
1895.75,-0.19
1895.8334,-0.20
1895.9166,-0.19
1896.0,-0.18
1896.0834,-0.16
1896.1666,-0.15
1896.25,-0.15
1896.3334,-0.13
1896.4166,-0.12
1896.5,-0.11
1896.5834,-0.10
1896.6666,-0.11
1896.75,-0.10
1896.8334,-0.07
1896.9166,-0.06
1897.0,-0.06
1897.0834,-0.05
1897.1666,-0.06
1897.25,-0.06
1897.3334,-0.07
1897.4166,-0.08
1897.5,-0.10
1897.5834,-0.09
1897.6666,-0.10
1897.75,-0.13
1897.8334,-0.16
1897.9166,-0.18
1898.0,-0.19
1898.0834,-0.21
1898.1666,-0.22
1898.25,-0.23
1898.3334,-0.25
1898.4166,-0.27
1898.5,-0.28
1898.5834,-0.29
1898.6666,-0.30
1898.75,-0.29
1898.8334,-0.28
1898.9166,-0.28
1899.0,-0.29
1899.0834,-0.28
1899.1666,-0.27
1899.25,-0.26
1899.3334,-0.23
1899.4166,-0.18
1899.5,-0.18
1899.5834,-0.19
1899.6666,-0.16
1899.75,-0.12
1899.8334,-0.11
1899.9166,-0.10
1900.0,-0.08
1900.0834,-0.08
1900.1666,-0.08
1900.25,-0.08
1900.3334,-0.06
1900.4166,-0.08
1900.5,-0.07
1900.5834,-0.05
1900.6666,-0.06
1900.75,-0.06
1900.8334,-0.05
1900.9166,-0.06
1901.0,-0.06
1901.0834,-0.06
1901.1666,-0.07
1901.25,-0.08
1901.3334,-0.11
1901.4166,-0.12
1901.5,-0.14
1901.5834,-0.14
1901.6666,-0.14
1901.75,-0.17
1901.8334,-0.19
1901.9166,-0.21
1902.0,-0.22
1902.0834,-0.23
1902.1666,-0.24
1902.25,-0.25
1902.3334,-0.25
1902.4166,-0.26
1902.5,-0.28
1902.5834,-0.28
1902.6666,-0.28
1902.75,-0.27
1902.8334,-0.28
1902.9166,-0.29
1903.0,-0.30
1903.0834,-0.31
1903.1666,-0.32
1903.25,-0.34
1903.3334,-0.36
1903.4166,-0.36
1903.5,-0.37
1903.5834,-0.41
1903.6666,-0.45
1903.75,-0.47
1903.8334,-0.48
1903.9166,-0.49
1904.0,-0.49
1904.0834,-0.52
1904.1666,-0.53
1904.25,-0.52
1904.3334,-0.52
1904.4166,-0.50
1904.5,-0.49
1904.5834,-0.47
1904.6666,-0.47
1904.75,-0.44
1904.8334,-0.43
1904.9166,-0.40
1905.0,-0.39
1905.0834,-0.38
1905.1666,-0.34
1905.25,-0.31
1905.3334,-0.28
1905.4166,-0.28
1905.5,-0.26
1905.5834,-0.25
1905.6666,-0.23
1905.75,-0.23
1905.8334,-0.21
1905.9166,-0.21
1906.0,-0.20
1906.0834,-0.19
1906.1666,-0.20
1906.25,-0.21
1906.3334,-0.21
1906.4166,-0.24
1906.5,-0.24
1906.5834,-0.25
1906.6666,-0.27
1906.75,-0.27
1906.8334,-0.30
1906.9166,-0.31
1907.0,-0.33
1907.0834,-0.34
1907.1666,-0.37
1907.25,-0.37
1907.3334,-0.37
1907.4166,-0.38
1907.5,-0.41
1907.5834,-0.41
1907.6666,-0.39
1907.75,-0.41
1907.8334,-0.42
1907.9166,-0.41
1908.0,-0.39
1908.0834,-0.39
1908.1666,-0.38
1908.25,-0.37
1908.3334,-0.39
1908.4166,-0.39
1908.5,-0.40
1908.5834,-0.42
1908.6666,-0.43
1908.75,-0.43
1908.8334,-0.45
1908.9166,-0.47
1909.0,-0.49
1909.0834,-0.50
1909.1666,-0.49
1909.25,-0.50
1909.3334,-0.50
1909.4166,-0.48
1909.5,-0.49
1909.5834,-0.46
1909.6666,-0.46
1909.75,-0.46
1909.8334,-0.44
1909.9166,-0.42
1910.0,-0.40
1910.0834,-0.38
1910.1666,-0.39
1910.25,-0.39
1910.3334,-0.39
1910.4166,-0.41
1910.5,-0.42
1910.5834,-0.43
1910.6666,-0.45
1910.75,-0.46
1910.8334,-0.47
1910.9166,-0.49
1911.0,-0.50
1911.0834,-0.50
1911.1666,-0.50
1911.25,-0.49
1911.3334,-0.48
1911.4166,-0.46
1911.5,-0.42
1911.5834,-0.39
1911.6666,-0.36
1911.75,-0.34
1911.8334,-0.31
1911.9166,-0.29
1912.0,-0.28
1912.0834,-0.29
1912.1666,-0.32
1912.25,-0.33
1912.3334,-0.36
1912.4166,-0.38
1912.5,-0.39
1912.5834,-0.41
1912.6666,-0.43
1912.75,-0.44
1912.8334,-0.45
1912.9166,-0.46
1913.0,-0.49
1913.0834,-0.48
1913.1666,-0.45
1913.25,-0.43
1913.3334,-0.41
1913.4166,-0.40
1913.5,-0.36
1913.5834,-0.33
1913.6666,-0.30
1913.75,-0.28
1913.8334,-0.27
1913.9166,-0.25
1914.0,-0.23
1914.0834,-0.22
1914.1666,-0.20
1914.25,-0.19
1914.3334,-0.17
1914.4166,-0.16
1914.5,-0.16
1914.5834,-0.18
1914.6666,-0.18
1914.75,-0.17
1914.8334,-0.14
1914.9166,-0.14
1915.0,-0.14
1915.0834,-0.13
1915.1666,-0.16
1915.25,-0.16
1915.3334,-0.17
1915.4166,-0.17
1915.5,-0.19
1915.5834,-0.18
1915.6666,-0.19
1915.75,-0.20
1915.8334,-0.23
1915.9166,-0.26
1916.0,-0.28
1916.0834,-0.29
1916.1666,-0.28
1916.25,-0.30
1916.3334,-0.31
1916.4166,-0.34
1916.5,-0.39
1916.5834,-0.42
1916.6666,-0.47
1916.75,-0.50
1916.8334,-0.51
1916.9166,-0.52
1917.0,-0.51
1917.0834,-0.50
1917.1666,-0.49
1917.25,-0.49
1917.3334,-0.49
1917.4166,-0.48
1917.5,-0.47
1917.5834,-0.46
1917.6666,-0.44
1917.75,-0.41
1917.8334,-0.40
1917.9166,-0.40
1918.0,-0.39
1918.0834,-0.39
1918.1666,-0.41
1918.25,-0.39
1918.3334,-0.36
1918.4166,-0.34
1918.5,-0.31
1918.5834,-0.28
1918.6666,-0.27
1918.75,-0.27
1918.8334,-0.25
1918.9166,-0.23
1919.0,-0.23
1919.0834,-0.23
1919.1666,-0.20
1919.25,-0.21
1919.3334,-0.23
1919.4166,-0.26
1919.5,-0.27
1919.5834,-0.27
1919.6666,-0.27
1919.75,-0.26
1919.8334,-0.26
1919.9166,-0.26
1920.0,-0.26
1920.0834,-0.26
1920.1666,-0.27
1920.25,-0.28
1920.3334,-0.30
1920.4166,-0.28
1920.5,-0.28
1920.5834,-0.27
1920.6666,-0.27
1920.75,-0.28
1920.8334,-0.28
1920.9166,-0.29
1921.0,-0.28
1921.0834,-0.27
1921.1666,-0.28
1921.25,-0.27
1921.3334,-0.23
1921.4166,-0.22
1921.5,-0.20
1921.5834,-0.22
1921.6666,-0.24
1921.75,-0.23
1921.8334,-0.23
1921.9166,-0.23
1922.0,-0.24
1922.0834,-0.24
1922.1666,-0.24
1922.25,-0.25
1922.3334,-0.28
1922.4166,-0.28
1922.5,-0.28
1922.5834,-0.28
1922.6666,-0.27
1922.75,-0.28
1922.8334,-0.30
1922.9166,-0.29
1923.0,-0.28
1923.0834,-0.29
1923.1666,-0.29
1923.25,-0.30
1923.3334,-0.28
1923.4166,-0.27
1923.5,-0.26
1923.5834,-0.25
1923.6666,-0.24
1923.75,-0.22
1923.8334,-0.22
1923.9166,-0.21
1924.0,-0.21
1924.0834,-0.22
1924.1666,-0.21
1924.25,-0.20
1924.3334,-0.22
1924.4166,-0.24
1924.5,-0.26
1924.5834,-0.28
1924.6666,-0.29
1924.75,-0.31
1924.8334,-0.30
1924.9166,-0.30
1925.0,-0.31
1925.0834,-0.30
1925.1666,-0.29
1925.25,-0.29
1925.3334,-0.29
1925.4166,-0.27
1925.5,-0.23
1925.5834,-0.18
1925.6666,-0.14
1925.75,-0.11
1925.8334,-0.10
1925.9166,-0.09
1926.0,-0.09
1926.0834,-0.09
1926.1666,-0.08
1926.25,-0.07
1926.3334,-0.06
1926.4166,-0.07
1926.5,-0.10
1926.5834,-0.14
1926.6666,-0.16
1926.75,-0.20
1926.8334,-0.22
1926.9166,-0.22
1927.0,-0.21
1927.0834,-0.21
1927.1666,-0.24
1927.25,-0.24
1927.3334,-0.23
1927.4166,-0.23
1927.5,-0.23
1927.5834,-0.21
1927.6666,-0.20
1927.75,-0.19
1927.8334,-0.19
1927.9166,-0.21
1928.0,-0.23
1928.0834,-0.23
1928.1666,-0.22
1928.25,-0.22
1928.3334,-0.24
1928.4166,-0.24
1928.5,-0.23
1928.5834,-0.27
1928.6666,-0.31
1928.75,-0.32
1928.8334,-0.33
1928.9166,-0.32
1929.0,-0.33
1929.0834,-0.34
1929.1666,-0.35
1929.25,-0.35
1929.3334,-0.34
1929.4166,-0.34
1929.5,-0.37
1929.5834,-0.35
1929.6666,-0.33
1929.75,-0.31
1929.8334,-0.30
1929.9166,-0.28
1930.0,-0.27
1930.0834,-0.27
1930.1666,-0.25
1930.25,-0.25
1930.3334,-0.26
1930.4166,-0.24
1930.5,-0.20
1930.5834,-0.19
1930.6666,-0.18
1930.75,-0.18
1930.8334,-0.17
1930.9166,-0.17
1931.0,-0.14
1931.0834,-0.09
1931.1666,-0.08
1931.25,-0.08
1931.3334,-0.05
1931.4166,-0.07
1931.5,-0.07
1931.5834,-0.05
1931.6666,-0.05
1931.75,-0.06
1931.8334,-0.04
1931.9166,-0.04
1932.0,-0.08
1932.0834,-0.11
1932.1666,-0.13
1932.25,-0.12
1932.3334,-0.13
1932.4166,-0.14
1932.5,-0.16
1932.5834,-0.19
1932.6666,-0.20
1932.75,-0.21
1932.8334,-0.23
1932.9166,-0.24
1933.0,-0.23
1933.0834,-0.21
1933.1666,-0.22
1933.25,-0.24
1933.3334,-0.27
1933.4166,-0.27
1933.5,-0.29
1933.5834,-0.29
1933.6666,-0.27
1933.75,-0.27
1933.8334,-0.28
1933.9166,-0.26
1934.0,-0.25
1934.0834,-0.25
1934.1666,-0.23
1934.25,-0.22
1934.3334,-0.19
1934.4166,-0.16
1934.5,-0.12
1934.5834,-0.13
1934.6666,-0.12
1934.75,-0.10
1934.8334,-0.11
1934.9166,-0.11
1935.0,-0.11
1935.0834,-0.13
1935.1666,-0.15
1935.25,-0.17
1935.3334,-0.17
1935.4166,-0.20
1935.5,-0.22
1935.5834,-0.21
1935.6666,-0.25
1935.75,-0.26
1935.8334,-0.24
1935.9166,-0.24
1936.0,-0.24
1936.0834,-0.21
1936.1666,-0.19
1936.25,-0.17
1936.3334,-0.16
1936.4166,-0.13
1936.5,-0.12
1936.5834,-0.10
1936.6666,-0.07
1936.75,-0.07
1936.8334,-0.07
1936.9166,-0.05
1937.0,-0.02
1937.0834,-0.02
1937.1666,-0.02
1937.25,-0.00
1937.3334, 0.01
1937.4166, 0.01
1937.5, 0.01
1937.5834, 0.02
1937.6666, 0.02
1937.75, 0.04
1937.8334, 0.06
1937.9166, 0.05
1938.0, 0.03
1938.0834, 0.02
1938.1666, 0.02
1938.25,-0.00
1938.3334, 0.00
1938.4166,-0.00
1938.5,-0.01
1938.5834,-0.02
1938.6666,-0.03
1938.75,-0.05
1938.8334,-0.07
1938.9166,-0.06
1939.0,-0.06
1939.0834,-0.06
1939.1666,-0.08
1939.25,-0.08
1939.3334,-0.10
1939.4166,-0.10
1939.5,-0.05
1939.5834,-0.04
1939.6666,-0.03
1939.75,-0.00
1939.8334, 0.02
1939.9166, 0.03
1940.0, 0.06
1940.0834, 0.08
1940.1666, 0.11
1940.25, 0.14
1940.3334, 0.14
1940.4166, 0.15
1940.5, 0.14
1940.5834, 0.16
1940.6666, 0.18
1940.75, 0.18
1940.8334, 0.18
1940.9166, 0.18
1941.0, 0.19
1941.0834, 0.20
1941.1666, 0.20
1941.25, 0.18
1941.3334, 0.20
1941.4166, 0.20
1941.5, 0.19
1941.5834, 0.20
1941.6666, 0.18
1941.75, 0.17
1941.8334, 0.16
1941.9166, 0.15
1942.0, 0.13
1942.0834, 0.12
1942.1666, 0.11
1942.25, 0.11
1942.3334, 0.08
1942.4166, 0.06
1942.5, 0.05
1942.5834, 0.03
1942.6666, 0.04
1942.75, 0.03
1942.8334, 0.04
1942.9166, 0.03
1943.0, 0.04
1943.0834, 0.05
1943.1666, 0.05
1943.25, 0.07
1943.3334, 0.10
1943.4166, 0.12
1943.5, 0.13
1943.5834, 0.16
1943.6666, 0.16
1943.75, 0.19
1943.8334, 0.20
1943.9166, 0.21
1944.0, 0.21
1944.0834, 0.21
1944.1666, 0.20
1944.25, 0.20
1944.3334, 0.20
1944.4166, 0.19
1944.5, 0.18
1944.5834, 0.16
1944.6666, 0.15
1944.75, 0.13
1944.8334, 0.12
1944.9166, 0.11
1945.0, 0.09
1945.0834, 0.08
1945.1666, 0.08
1945.25, 0.07
1945.3334, 0.07
1945.4166, 0.06
1945.5, 0.05
1945.5834, 0.05
1945.6666, 0.05
1945.75, 0.05
1945.8334, 0.05
1945.9166, 0.05
1946.0, 0.05
1946.0834, 0.05
1946.1666, 0.02
1946.25, 0.00
1946.3334,-0.03
1946.4166,-0.04
1946.5,-0.05
1946.5834,-0.07
1946.6666,-0.07
1946.75,-0.07
1946.8334,-0.07
1946.9166,-0.07
1947.0,-0.08
1947.0834,-0.08
1947.1666,-0.06
1947.25,-0.06
1947.3334,-0.03
1947.4166,-0.02
1947.5,-0.01
1947.5834, 0.00
1947.6666,-0.01
1947.75,-0.04
1947.8334,-0.06
1947.9166,-0.07
1948.0,-0.05
1948.0834,-0.07
1948.1666,-0.09
1948.25,-0.10
1948.3334,-0.11
1948.4166,-0.13
1948.5,-0.14
1948.5834,-0.14
1948.6666,-0.14
1948.75,-0.12
1948.8334,-0.13
1948.9166,-0.14
1949.0,-0.18
1949.0834,-0.18
1949.1666,-0.18
1949.25,-0.18
1949.3334,-0.18
1949.4166,-0.17
1949.5,-0.17
1949.5834,-0.20
1949.6666,-0.21
1949.75,-0.21
1949.8334,-0.21
1949.9166,-0.21
1950.0,-0.18
1950.0834,-0.17
1950.1666,-0.17
1950.25,-0.16
1950.3334,-0.17
1950.4166,-0.19
1950.5,-0.19
1950.5834,-0.20
1950.6666,-0.21
1950.75,-0.22
1950.8334,-0.21
1950.9166,-0.19
1951.0,-0.19
1951.0834,-0.20
1951.1666,-0.17
1951.25,-0.16
1951.3334,-0.14
1951.4166,-0.11
1951.5,-0.08
1951.5834,-0.04
1951.6666, 0.01
1951.75, 0.02
1951.8334, 0.02
1951.9166, 0.01
1952.0, 0.02
1952.0834, 0.03
1952.1666, 0.04
1952.25, 0.05
1952.3334, 0.04
1952.4166, 0.03
1952.5, 0.01
1952.5834, 0.01
1952.6666, 0.01
1952.75, 0.02
1952.8334, 0.03
1952.9166, 0.05
1953.0, 0.05
1953.0834, 0.04
1953.1666, 0.04
1953.25, 0.04
1953.3334, 0.04
1953.4166, 0.05
1953.5, 0.06
1953.5834, 0.04
1953.6666, 0.02
1953.75, 0.01
1953.8334,-0.02
1953.9166,-0.04
1954.0,-0.06
1954.0834,-0.07
1954.1666,-0.10
1954.25,-0.13
1954.3334,-0.14
1954.4166,-0.12
1954.5,-0.14
1954.5834,-0.11
1954.6666,-0.12
1954.75,-0.13
1954.8334,-0.14
1954.9166,-0.13
1955.0,-0.13
1955.0834,-0.12
1955.1666,-0.07
1955.25,-0.06
1955.3334,-0.06
1955.4166,-0.09
1955.5,-0.09
1955.5834,-0.12
1955.6666,-0.12
1955.75,-0.11
1955.8334,-0.12
1955.9166,-0.13
1956.0,-0.13
1956.0834,-0.13
1956.1666,-0.17
1956.25,-0.17
1956.3334,-0.19
1956.4166,-0.19
1956.5,-0.17
1956.5834,-0.17
1956.6666,-0.15
1956.75,-0.14
1956.8334,-0.11
1956.9166,-0.08
1957.0,-0.06
1957.0834,-0.06
1957.1666,-0.02
1957.25, 0.00
1957.3334, 0.02
1957.4166, 0.04
1957.5, 0.05
1957.5834, 0.09
1957.6666, 0.12
1957.75, 0.13
1957.8334, 0.13
1957.9166, 0.13
1958.0, 0.10
1958.0834, 0.10
1958.1666, 0.08
1958.25, 0.07
1958.3334, 0.07
1958.4166, 0.07
1958.5, 0.06
1958.5834, 0.03
1958.6666, 0.02
1958.75, 0.02
1958.8334, 0.03
1958.9166, 0.03
1959.0, 0.04
1959.0834, 0.04
1959.1666, 0.05
1959.25, 0.04
1959.3334, 0.03
1959.4166, 0.02
1959.5, 0.02
1959.5834, 0.02
1959.6666, 0.02
1959.75,-0.02
1959.8334,-0.05
1959.9166,-0.06
1960.0,-0.06
1960.0834,-0.07
1960.1666,-0.07
1960.25,-0.05
1960.3334,-0.04
1960.4166,-0.05
1960.5,-0.03
1960.5834,-0.02
1960.6666,-0.02
1960.75, 0.01
1960.8334, 0.04
1960.9166, 0.05
1961.0, 0.07
1961.0834, 0.08
1961.1666, 0.08
1961.25, 0.08
1961.3334, 0.08
1961.4166, 0.09
1961.5, 0.06
1961.5834, 0.06
1961.6666, 0.05
1961.75, 0.06
1961.8334, 0.05
1961.9166, 0.03
1962.0, 0.03
1962.0834, 0.03
1962.1666, 0.02
1962.25, 0.02
1962.3334, 0.02
1962.4166, 0.02
1962.5, 0.03
1962.5834, 0.03
1962.6666, 0.03
1962.75, 0.01
1962.8334,-0.00
1962.9166,-0.00
1963.0,-0.00
1963.0834, 0.01
1963.1666, 0.03
1963.25, 0.04
1963.3334, 0.05
1963.4166, 0.06
1963.5, 0.06
1963.5834, 0.05
1963.6666, 0.03
1963.75, 0.02
1963.8334,-0.00
1963.9166,-0.02
1964.0,-0.03
1964.0834,-0.03
1964.1666,-0.07
1964.25,-0.12
1964.3334,-0.15
1964.4166,-0.18
1964.5,-0.20
1964.5834,-0.20
1964.6666,-0.20
1964.75,-0.20
1964.8334,-0.18
1964.9166,-0.17
1965.0,-0.17
1965.0834,-0.18
1965.1666,-0.17
1965.25,-0.16
1965.3334,-0.14
1965.4166,-0.13
1965.5,-0.11
1965.5834,-0.12
1965.6666,-0.11
1965.75,-0.10
1965.8334,-0.09
1965.9166,-0.10
1966.0,-0.09
1966.0834,-0.07
1966.1666,-0.07
1966.25,-0.06
1966.3334,-0.07
1966.4166,-0.07
1966.5,-0.06
1966.5834,-0.05
1966.6666,-0.06
1966.75,-0.06
1966.8334,-0.06
1966.9166,-0.04
1967.0,-0.04
1967.0834,-0.04
1967.1666,-0.03
1967.25,-0.04
1967.3334,-0.01
1967.4166,-0.02
1967.5,-0.02
1967.5834,-0.03
1967.6666,-0.03
1967.75,-0.01
1967.8334,-0.01
1967.9166,-0.04
1968.0,-0.04
1968.0834,-0.05
1968.1666,-0.06
1968.25,-0.07
1968.3334,-0.07
1968.4166,-0.07
1968.5,-0.08
1968.5834,-0.06
1968.6666,-0.07
1968.75,-0.08
1968.8334,-0.06
1968.9166,-0.04
1969.0,-0.03
1969.0834,-0.02
1969.1666,-0.02
1969.25, 0.00
1969.3334, 0.00
1969.4166, 0.02
1969.5, 0.05
1969.5834, 0.06
1969.6666, 0.09
1969.75, 0.10
1969.8334, 0.09
1969.9166, 0.07
1970.0, 0.06
1970.0834, 0.07
1970.1666, 0.06
1970.25, 0.07
1970.3334, 0.06
1970.4166, 0.06
1970.5, 0.02
1970.5834, 0.02
1970.6666,-0.02
1970.75,-0.04
1970.8334,-0.05
1970.9166,-0.05
1971.0,-0.06
1971.0834,-0.07
1971.1666,-0.06
1971.25,-0.07
1971.3334,-0.07
1971.4166,-0.08
1971.5,-0.08
1971.5834,-0.10
1971.6666,-0.10
1971.75,-0.08
1971.8334,-0.08
1971.9166,-0.08
1972.0,-0.06
1972.0834,-0.05
1972.1666,-0.04
1972.25,-0.03
1972.3334,-0.03
1972.4166,-0.02
1972.5, 0.00
1972.5834, 0.05
1972.6666, 0.09
1972.75, 0.11
1972.8334, 0.13
1972.9166, 0.16
1973.0, 0.17
1973.0834, 0.18
1973.1666, 0.16
1973.25, 0.17
1973.3334, 0.18
1973.4166, 0.18
1973.5, 0.16
1973.5834, 0.13
1973.6666, 0.08
1973.75, 0.05
1973.8334, 0.02
1973.9166,-0.00
1974.0,-0.02
1974.0834,-0.03
1974.1666,-0.02
1974.25,-0.04
1974.3334,-0.05
1974.4166,-0.06
1974.5,-0.06
1974.5834,-0.04
1974.6666,-0.02
1974.75,-0.00
1974.8334, 0.01
1974.9166, 0.03
1975.0, 0.03
1975.0834, 0.03
1975.1666, 0.00
1975.25, 0.00
1975.3334,-0.00
1975.4166,-0.01
1975.5,-0.02
1975.5834,-0.03
1975.6666,-0.04
1975.75,-0.07
1975.8334,-0.08
1975.9166,-0.12
1976.0,-0.12
1976.0834,-0.13
1976.1666,-0.13
1976.25,-0.13
1976.3334,-0.14
1976.4166,-0.14
1976.5,-0.11
1976.5834,-0.09
1976.6666,-0.07
1976.75,-0.03
1976.8334, 0.00
1976.9166, 0.05
1977.0, 0.08
1977.0834, 0.11
1977.1666, 0.14
1977.25, 0.15
1977.3334, 0.17
1977.4166, 0.19
1977.5, 0.18
1977.5834, 0.16
1977.6666, 0.15
1977.75, 0.15
1977.8334, 0.14
1977.9166, 0.12
1978.0, 0.10
1978.0834, 0.08
1978.1666, 0.05
1978.25, 0.06
1978.3334, 0.06
1978.4166, 0.06
1978.5, 0.06
1978.5834, 0.07
1978.6666, 0.05
1978.75, 0.05
1978.8334, 0.05
1978.9166, 0.04
1979.0, 0.05
1979.0834, 0.05
1979.1666, 0.08
1979.25, 0.09
1979.3334, 0.11
1979.4166, 0.13
1979.5, 0.16
1979.5834, 0.18
1979.6666, 0.22
1979.75, 0.23
1979.8334, 0.24
1979.9166, 0.27
1980.0, 0.27
1980.0834, 0.29
1980.1666, 0.29
1980.25, 0.29
1980.3334, 0.28
1980.4166, 0.28
1980.5, 0.26
1980.5834, 0.28
1980.6666, 0.28
1980.75, 0.30
1980.8334, 0.30
1980.9166, 0.29
1981.0, 0.30
1981.0834, 0.31
1981.1666, 0.33
1981.25, 0.32
1981.3334, 0.32
1981.4166, 0.31
1981.5, 0.33
1981.5834, 0.29
1981.6666, 0.27
1981.75, 0.23
1981.8334, 0.21
1981.9166, 0.21
1982.0, 0.19
1982.0834, 0.17
1982.1666, 0.13
1982.25, 0.13
1982.3334, 0.13
1982.4166, 0.12
1982.5, 0.13
1982.5834, 0.17
1982.6666, 0.19
1982.75, 0.22
1982.8334, 0.23
1982.9166, 0.25
1983.0, 0.26
1983.0834, 0.26
1983.1666, 0.30
1983.25, 0.32
1983.3334, 0.33
1983.4166, 0.34
1983.5, 0.31
1983.5834, 0.29
1983.6666, 0.27
1983.75, 0.26
1983.8334, 0.24
1983.9166, 0.24
1984.0, 0.22
1984.0834, 0.22
1984.1666, 0.20
1984.25, 0.19
1984.3334, 0.19
1984.4166, 0.17
1984.5, 0.15
1984.5834, 0.15
1984.6666, 0.13
1984.75, 0.13
1984.8334, 0.13
1984.9166, 0.11
1985.0, 0.13
1985.0834, 0.11
1985.1666, 0.11
1985.25, 0.10
1985.3334, 0.10
1985.4166, 0.10
1985.5, 0.11
1985.5834, 0.11
1985.6666, 0.15
1985.75, 0.16
1985.8334, 0.17
1985.9166, 0.18
1986.0, 0.17
1986.0834, 0.18
1986.1666, 0.18
1986.25, 0.17
1986.3334, 0.17
1986.4166, 0.18
1986.5, 0.18
1986.5834, 0.19
1986.6666, 0.19
1986.75, 0.18
1986.8334, 0.18
1986.9166, 0.18
1987.0, 0.21
1987.0834, 0.23
1987.1666, 0.23
1987.25, 0.26
1987.3334, 0.27
1987.4166, 0.29
1987.5, 0.31
1987.5834, 0.33
1987.6666, 0.33
1987.75, 0.36
1987.8334, 0.38
1987.9166, 0.39
1988.0, 0.40
1988.0834, 0.39
1988.1666, 0.41
1988.25, 0.41
1988.3334, 0.42
1988.4166, 0.40
1988.5, 0.39
1988.5834, 0.35
1988.6666, 0.34
1988.75, 0.32
1988.8334, 0.31
1988.9166, 0.29
1989.0, 0.26
