12-month global means vs 1951-1980
Year,Global Mean
1880.0,*
1880.0834,*
1880.1666,*
1880.25,*
1880.3334,*
1880.4166,*
1880.5,-0.19
1880.5834,-0.19
1880.6666,-0.18
1880.75,-0.17
1880.8334,-0.16
1880.9166,-0.14
1881.0,-0.14
1881.0834,-0.13
1881.1666,-0.12
1881.25,-0.12
1881.3334,-0.12
1881.4166,-0.11
1881.5,-0.10
1881.5834,-0.08
1881.6666,-0.05
1881.75,-0.05
1881.8334,-0.07
1881.9166,-0.09
1882.0,-0.09
1882.0834,-0.10
1882.1666,-0.11
1882.25,-0.11
1882.3334,-0.11
1882.4166,-0.11
1882.5,-0.14
1882.5834,-0.17
1882.6666,-0.21
1882.75,-0.22
1882.8334,-0.22
1882.9166,-0.22
1883.0,-0.21
1883.0834,-0.20
1883.1666,-0.20
1883.25,-0.21
1883.3334,-0.20
1883.4166,-0.20
1883.5,-0.18
1883.5834,-0.17
1883.6666,-0.15
1883.75,-0.18
1883.8334,-0.20
1883.9166,-0.22
1884.0,-0.24
1884.0834,-0.26
1884.1666,-0.27
1884.25,-0.27
1884.3334,-0.28
1884.4166,-0.29
1884.5,-0.30
1884.5834,-0.34
1884.6666,-0.35
1884.75,-0.35
1884.8334,-0.34
1884.9166,-0.35
1885.0,-0.36
1885.0834,-0.36
1885.1666,-0.36
1885.25,-0.36
1885.3334,-0.36
1885.4166,-0.36
1885.5,-0.34
1885.5834,-0.33
1885.6666,-0.35
1885.75,-0.36
1885.8334,-0.35
1885.9166,-0.34
1886.0,-0.33
1886.0834,-0.31
1886.1666,-0.31
1886.25,-0.31
1886.3334,-0.31
1886.4166,-0.31
1886.5,-0.33
1886.5834,-0.35
1886.6666,-0.35
1886.75,-0.35
1886.8334,-0.36
1886.9166,-0.37
1887.0,-0.36
1887.0834,-0.37
1887.1666,-0.37
1887.25,-0.37
1887.3334,-0.38
1887.4166,-0.38
1887.5,-0.39
1887.5834,-0.35
1887.6666,-0.33
1887.75,-0.34
1887.8334,-0.32
1887.9166,-0.31
1888.0,-0.31
1888.0834,-0.29
1888.1666,-0.27
1888.25,-0.26
1888.3334,-0.23
1888.4166,-0.21
1888.5,-0.18
1888.5834,-0.16
1888.6666,-0.11
1888.75,-0.07
1888.8334,-0.05
1888.9166,-0.03
1889.0,-0.02
1889.0834,-0.02
1889.1666,-0.02
1889.25,-0.03
1889.3334,-0.05
1889.4166,-0.09
1889.5,-0.11
1889.5834,-0.14
1889.6666,-0.19
1889.75,-0.23
1889.8334,-0.27
1889.9166,-0.30
1890.0,-0.32
1890.0834,-0.33
1890.1666,-0.35
1890.25,-0.36
1890.3334,-0.36
1890.4166,-0.37
1890.5,-0.37
1890.5834,-0.36
1890.6666,-0.36
1890.75,-0.34
1890.8334,-0.34
1890.9166,-0.32
1891.0,-0.32
1891.0834,-0.31
1891.1666,-0.30
1891.25,-0.28
1891.3334,-0.28
1891.4166,-0.26
1891.5,-0.25
1891.5834,-0.24
1891.6666,-0.21
1891.75,-0.23
1891.8334,-0.24
1891.9166,-0.25
1892.0,-0.25
1892.0834,-0.26
